STOP	</s>
UNK	<unk>
2	1\/2-year
2	a.m
2	a.m.
2	billion
2	million
2	mph
2	p.m
2	p.m.
2	trillion
3	12-year
3	190-point
3	190.58-point
3	30-day
3	300-day
3	aborted
3	adobe
3	after-tax
3	alternative
3	annualized
3	assassination
3	asset
3	average
3	base
3	bond-equivalent
3	break-even
3	capital-gains
3	cash
3	cat
3	catastrophe
3	closing
3	compound
3	conceptual
3	consent
3	controlling
3	conversion
3	cosmetic
3	cost-cutting
3	coup
3	customer
3	daily
3	death
3	debenture
3	default
3	discount
3	distinct
3	draft
3	editorial
3	equity
3	excess
3	five-cent
3	flight
3	foreseeable
3	forfeiture
3	friday-the-13th
3	front
3	fund-raising
3	future
3	ghost
3	gift
3	gradual
3	guest
3	historical
3	hostile
3	hourly
3	import
3	income-tax
3	internal
3	inventory
3	lbo
3	lexus
3	libel
3	lifetime
3	liquidation
3	listing
3	lower-than-expected
3	mainstream
3	majority
3	marginal
3	maximum
3	middle
3	midyear
3	minimum
3	minimum-wage
3	minority
3	minus
3	monthly
3	motion
3	multiple
3	murder
3	negligence
3	one-day
3	one-time
3	opposite
3	ozone
3	parliamentary
3	passenger
3	peak
3	penalty
3	percentage
3	plane
3	poverty
3	principal
3	rapid
3	record
3	reorganization
3	replacement
3	royalty
3	secret
3	seven-day
3	shareholder
3	sharp
3	sharpest
3	simultaneous
3	slim
3	start-up
3	steep
3	stock-market
3	substance
3	syrian
3	takeover
3	tariff
3	tax
3	tender
3	toll
3	total
3	training
3	troop
3	two-part
3	underground
3	underwriting
3	unexpectedly
3	unfriendly
3	unsolicited
3	unspecified
3	uptick
3	vacancy
3	valuation
3	voting
3	wage
3	warranty
3	watts
3	weekly
3	wives
3	world-wide
3	year-to-year
3	zero
4	accused
4	acquires
4	added
4	admitted
4	advised
4	affects
4	allows
4	angered
4	announced
4	approves
4	arguing
4	arose
4	asked
4	asks
4	assumed
4	assumes
4	attended
4	attracts
4	attributed
4	awarded
4	battled
4	bears
4	began
4	begins
4	boasts
4	boosts
4	brings
4	broke
4	builds
4	buys
4	called
4	calls
4	carries
4	chooses
4	cited
4	cites
4	claimed
4	claiming
4	closes
4	combines
4	compares
4	complained
4	concluded
4	confirmed
4	considers
4	constitute
4	contains
4	covers
4	creates
4	crossed
4	declared
4	declaring
4	defended
4	demanded
4	demonstrated
4	demonstrates
4	denied
4	describes
4	deserves
4	detected
4	develops
4	dies
4	digs
4	directs
4	discovered
4	distributes
4	doubts
4	downgraded
4	draws
4	drew
4	drove
4	earns
4	emphasized
4	enabled
4	enjoyed
4	enjoys
4	enters
4	estimating
4	etc.
4	exercises
4	expired
4	expressed
4	faces
4	favored
4	favors
4	feared
4	fearful
4	feeds
4	feels
4	felt
4	figured
4	finds
4	flies
4	follows
4	found
4	freed
4	gave
4	generates
4	gives
4	got
4	grabbed
4	grows
4	handles
4	heads
4	hinted
4	holds
4	illustrates
4	implies
